ZIPCODE,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,hh_total,hh_less_than_10k,hh_10k_to_15k,hh_15k_to_25k,hh_25k_to_35k,hh_35k_to_50k,hh_50k_to_75k,hh_75k_to_100k,hh_100k_to_150k,hh_150k_to_200k,hh_200k_or_more,hh_median_income,hh_mean_income,pct_poc,zhvi,max_pfas,mean_pfas,total_detections,num_contaminants
08361,ZCTA5 08361,18206,81.9,11.3,2.8,4.1,0.0,25.4,60.0,6677,5.1,3.5,4.6,5.5,8.2,11.2,12.9,20.8,15.9,12.4,99050,113994,18.099999999999994,336665.0743554576,0.0108,0.0004298429319371728,31.0,20.0
08401,ZCTA5 08401,38925,30.2,33.8,3.2,17.0,0.0,31.7,17.5,16605,9.7,8.7,14.5,10.1,15.0,16.6,8.2,8.6,5.5,3.2,41126,64095,69.8,211022.96606687535,0.0073,0.00028642857142857143,8.0,20.0
08402,ZCTA5 08402,5234,95.7,1.4,0.2,1.7,0.0,4.3,92.3,2570,4.6,0.7,5.1,4.7,4.6,9.1,6.1,28.0,10.9,26.2,121800,179475,4.299999999999997,968835.2354444502,0.0,0.0,0.0,20.0
08403,ZCTA5 08403,1046,97.0,0.0,0.0,7.0,0.0,5.4,87.6,536,6.5,3.7,10.8,0.6,3.2,10.6,10.6,13.6,7.1,33.2,110625,219043,3.0,1402797.9163511184,0.0048,2.619047619047619e-05,3.0,20.0
08406,ZCTA5 08406,8972,83.9,5.3,1.9,8.2,0.0,14.7,72.7,4808,3.3,7.1,6.0,8.8,12.0,14.4,13.2,16.2,5.3,13.8,69099,111626,16.099999999999994,558978.4672459649,0.0,0.0,0.0,20.0
08501,ZCTA5 08501,6364,93.6,1.7,0.3,5.2,0.0,7.0,86.2,2502,2.2,1.6,0.8,3.4,6.6,15.3,8.0,13.9,12.5,35.7,146182,174914,6.400000000000006,710177.3278432898,0.0116,0.0009109090909090909,31.0,20.0
08502,ZCTA5 08502,11849,44.3,4.6,0.0,51.4,0.2,4.0,38.2,3983,1.1,0.6,2.0,0.5,0.8,5.1,10.3,12.7,8.1,58.9,227242,255923,55.7,968745.9576703632,0.0075,0.00025416666666666665,19.0,20.0
08505,ZCTA5 08505,19142,78.9,14.2,0.9,8.0,0.3,12.2,66.5,7350,3.0,0.9,2.0,3.2,5.9,15.8,9.8,26.5,13.5,19.3,112845,131530,21.099999999999994,443972.6964848687,0.0,0.0,0.0,20.0
08510,ZCTA5 08510,5386,79.3,5.9,0.0,11.1,0.0,17.2,61.5,1833,6.2,0.0,0.8,2.8,5.5,9.7,3.2,4.6,12.5,54.7,225966,241486,20.700000000000003,910404.7872178744,,,,
08511,ZCTA5 08511,976,86.9,6.5,0.5,0.8,0.0,23.1,67.8,388,0.5,1.0,1.0,3.6,13.1,26.0,22.4,12.9,6.7,12.6,80952,116173,13.099999999999994,426745.6233145946,,,,
08512,ZCTA5 08512,12928,51.5,12.9,1.2,31.9,0.0,15.7,40.0,5102,0.7,2.8,4.9,3.7,10.4,15.1,6.5,15.9,10.4,29.5,118587,174645,48.5,738900.681691309,0.0075,0.00017596153846153846,19.0,20.0
08514,ZCTA5 08514,4917,90.8,1.3,0.3,8.1,0.0,4.5,85.1,1744,0.0,2.2,1.9,4.7,3.1,13.9,13.5,19.6,7.9,33.1,134038,167719,9.200000000000003,676235.2654536306,0.0,0.0,0.0,20.0
08515,ZCTA5 08515,8373,60.1,7.4,0.0,33.7,0.0,4.9,53.9,2533,0.0,0.6,0.0,1.1,2.9,5.8,5.1,17.1,11.8,55.5,208836,222288,39.9,678400.8334005243,0.0116,0.0011133333333333334,31.0,20.0
08518,ZCTA5 08518,6508,69.4,17.8,0.8,16.6,0.0,11.3,53.0,2172,5.3,0.4,0.8,2.7,5.7,20.5,15.0,30.5,5.8,13.4,97045,114533,30.599999999999994,326709.59237591154,0.0132,0.001925,11.0,20.0
08520,ZCTA5 08520,29504,62.4,9.2,1.2,21.4,0.1,23.8,44.7,10974,2.2,1.3,2.2,2.8,8.6,13.7,11.7,19.9,13.2,24.4,118010,145372,37.6,466911.2537256213,0.0116,0.0005273684210526315,31.0,20.0
08525,ZCTA5 08525,4522,91.6,3.9,1.1,4.0,0.0,8.5,80.9,1903,1.6,0.3,2.3,2.7,2.8,7.7,11.8,13.9,13.9,43.0,165324,202225,8.400000000000006,670711.7526853661,,,,
08527,ZCTA5 08527,58991,86.4,6.4,0.5,4.3,0.2,13.7,75.6,20324,1.8,2.1,4.5,5.8,7.8,10.0,11.3,21.9,15.2,19.7,115487,136935,13.599999999999994,614091.8752040596,0.0,0.0,0.0,20.0
08528,ZCTA5 08528,321,94.1,0.0,0.0,5.9,0.0,0.0,94.1,207,0.0,0.0,0.0,0.0,0.0,68.1,0.0,8.7,18.8,4.3,-,96672,5.900000000000006,,0.0075,0.00025416666666666665,19.0,20.0
08530,ZCTA5 08530,8119,87.7,6.2,4.0,2.4,0.0,10.2,79.3,3596,1.3,1.4,2.9,7.6,8.6,9.8,9.6,15.4,11.0,32.3,120467,185443,12.299999999999997,632266.0519135357,0.0,0.0,0.0,20.0
08533,ZCTA5 08533,7563,96.7,2.3,3.3,0.0,0.0,12.3,85.8,2654,0.7,0.8,5.0,5.2,2.1,16.2,12.6,21.7,15.7,20.0,113583,146552,3.299999999999997,536324.0372635785,,,,
08534,ZCTA5 08534,13272,79.0,2.0,0.6,19.9,0.0,3.0,73.7,4995,1.9,3.6,1.2,1.4,4.2,5.9,6.2,16.8,15.1,43.8,175573,219141,21.0,670306.1388246907,0.0,0.0,0.0,20.0
08535,ZCTA5 08535,4999,87.2,2.5,0.1,5.6,0.2,6.7,79.3,1519,2.2,0.7,0.5,0.7,5.9,5.0,11.3,12.8,9.3,51.5,209732,275510,12.799999999999997,901647.1887750564,,,,
08536,ZCTA5 08536,20817,31.1,8.8,0.6,61.4,0.2,4.6,26.1,8353,1.1,0.5,2.0,1.9,5.5,10.4,9.3,25.5,13.6,30.2,137607,189111,68.9,633742.0425849637,0.0075,0.00025416666666666665,19.0,20.0
08540,ZCTA5 08540,50388,56.6,7.6,1.0,35.4,0.1,7.4,49.5,18609,4.2,2.7,3.1,1.7,4.9,7.6,8.1,11.5,10.7,45.5,176983,241691,43.4,935576.4673937564,0.0081,0.00035681818181818183,32.0,20.0
08542,ZCTA5 08542,2533,65.6,15.9,5.8,14.3,0.9,15.3,53.8,1264,1.3,0.6,1.0,2.2,10.8,16.4,14.0,22.8,7.8,23.1,105524,146002,34.400000000000006,847510.7846377757,0.0075,0.00025416666666666665,19.0,20.0
08544,ZCTA5 08544,4392,62.2,11.9,2.1,31.0,0.6,13.5,43.8,12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,37.8,,0.0075,0.00025416666666666665,19.0,20.0
08550,ZCTA5 08550,21067,41.2,3.3,0.5,58.8,0.0,4.8,33.2,7817,2.8,1.6,1.4,1.6,2.0,4.9,5.1,7.2,14.5,58.8,224213,270773,58.8,981359.6673569534,0.0075,0.00017596153846153846,19.0,20.0
