ZIPCODE,State,City,Metro,CountyName,zhvi
08345,NJ,Port Norris,"Vineland-Bridgeton, NJ",Cumberland County,242782.29761864425
08346,NJ,Newtonville,"Atlantic City-Hammonton, NJ",Atlantic County,314785.5671342018
08032,NJ,Grenloch,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,292172.69292083103
08001,NJ,Alloway,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Salem County,275694.7820079977
08321,NJ,Fortescue,"Vineland-Bridgeton, NJ",Cumberland County,180269.77280341528
08014,NJ,Bridgeport,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,279871.0775827199
08353,NJ,Shiloh,"Vineland-Bridgeton, NJ",Cumberland County,294402.33586918126
08327,NJ,Leesburg,"Vineland-Bridgeton, NJ",Cumberland County,276408.7340165006
08006,NJ,Barnegat Light,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,1493224.99405468
08212,NJ,Cape May Point,"Ocean City, NJ",Cape May County,1446312.5981230866
08739,NJ,Lavallette,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,1531427.3087956058
08248,NJ,Strathmere,"Ocean City, NJ",Cape May County,1509571.8473406702
